Nro Usuario HR,Nro Usuario HPH,Nombre y Apellido,Mensajes,Galeones,ATK,DEF,Casa,Vida,Año,Bando,Raza,Sexo,Miembro,Edad,Empleo OnRol,Empleo OffRol,Orientación Sexual,Patronus,Habilidades,Sangre,Avatar,Directorio,Activo,,Link HR,LINK HPH
u1079,145,Alessandro Cabane,,,,,Extranjero,Adulto,A,Neutral,Híbrdo Si+H,Hombre,-,45,Enfermero Hogwarts,-,Pansexual,Tiburón Blanco,Legeremancia,Pura,https://i.imgur.com/Ov7lZgL.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1079"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=145"">"
u2100,13,Alex Selwyn,,,,,Gryffindor,Adulto,A,Auror,Humano,Hombre,Auror,25,Sanador / T. Global Star Entertainment,-,Bisexual,Águila blanca,-,Pura,https://i.imgur.com/PkfxKbp.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2100"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=13"">"
u3191,143,Alexandra Cabane,,,,,Hufflepuff,Estudiante,1,Neutral,Semigigante,Mujer,-,11,Cazadora Hufflepuff,-,Asexual,Bisonte Americano,-,Pura,https://i.imgur.com/vXrgM7k.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3191"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=143"">"
u445,138,Alexei Anderson,,,,,Gryffindor,Adulto,A,Neutral,Humano,Hombre,-,42,-,-,Heterosexual,Leopardo Amur,-,Mestiza,https://i.imgur.com/3kDJa9d.png,Si,,,"<a href=""https://www.hogwartsrol.com/u445"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=138"">"
u3384,128,Alice Lovehearth,,,,,Hufflepuff,Estudiante,1,Neutral,Humano,Mujer,-,11,-,-,Bisexual,Lebrílope,-,Pura,https://i.imgur.com/AJfoycU.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3384"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=128"">"
u3461,146,Allen Österhagen,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u3461"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=146"">"
u3353,115,Alya Rosier,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u3353"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=115"">"
u1163,176,Amarie,,,,,-,-,-,-,Deidad,-,-,∞,-,-,-,-,-,-,https://i.imgur.com/eTftTB8.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u1163"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=176"">"
u2500,110,Amelie Lacourt,,,,,Hufflepuff,Adulto,A,Auror,Vampiro,Mujer,-,113,Profesor Estudios Muggles / Profesional DRCM,-,Heterosexual,Jaguar,-,Pura,https://i.imgur.com/oJHJglG.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2500"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=110"">"
u3157,6,Amelie Rosier,,,,,Slytherin,Estudiante,7,Neutral,Humano,Mujer,-,18,A. de Sanador / A. de DCAO,Moderador de Gobstons,Bisexual,Serpiente Cobra Real,-,Pura,https://i.imgur.com/6yQ1xOr.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3157"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=6"">"
u1165,177,Amynus,,,,,-,-,-,-,Deidad,-,-,∞,-,-,-,-,-,-,https://i.imgur.com/OrVLous.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u1165"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=177"">"
u2812,96,Archie Smith,,,,,Ravenclaw,Estudiante,6,Neutral,Humano,Hombre,-,16,A. de Pociones / Ayudante F&B,-,Bisexual,Delfín austral,-,Pura,https://i.imgur.com/D6bfx8W.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2812"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=96"">"
u3400,98,Ardan Richetti,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u3400"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=98"">"
u2793,84,Ariadna Katsaros,,,,,Slytherin,Estudiante,6,Neutral,Humano,Mujer,-,15,Ayudante de Fleur,-,Homosexual,Fwooper,-,Pura,https://i.imgur.com/MvRRlKR.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2793"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=84"">"
u3022,113,Arikel McDowell,,,,,Slytherin,Estudiante,5,Neutral,Sirena,Mujer,-,15,Cazador Slytherin / Ayudante de Fleur,-,Bisexual,Delfín,Premonición,Pura,https://i.imgur.com/mF9jEpI.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3022"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=113"">"
u134,99,Arthur Beckett,,,,,Hufflepuff,Adulto,A,Auror,Humano,Hombre,-,32,-,-,Heterosexual,Gato de Patas Negras,-,Pura,https://i.imgur.com/gyrhSso.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u134"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=99"">"
u3049,40,Arthur Wright,,,,,Hufflepuff,Estudiante,6,Neutral,Humano,Hombre,-,18,-,-,Heterosexual,Ave Lira Soberbia,-,Pura,https://i.imgur.com/2siBNCM.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3049"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=40"">"
u1164,178,Basthian,,,,,-,-,-,-,Deidad,-,-,∞,-,-,-,-,-,-,https://i.imgur.com/oXDMIIl.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u1164"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=178"">"
u931,90,Bastian E. Weasley,,,,,Slytherin,Adulto,A,Neutral,Veela,Hombre,-,27,Wizengamot,-,Bisexual,Gato Dorado Asiatico,-,Mestiza,https://i.imgur.com/HXlgc2v.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u931"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=90"">"
u3396,104,Bythos Slughorn,,,,,Hufflepuff,Estudiante,7,Neutral,Vampiro,Hombre,-,17,-,-,Bisexual,Granian,-,Pura,https://i.imgur.com/jxjrH98.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3396"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=104"">"
u3312,166,Cadmus T. Windhunter,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u3312"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=166"">"
u1343,136,Caius Black,,,,,Slytherin,Adulto,A,Mortífago,Humano,Hombre,Mortífago,33,Profesional Uso Incorrecto de la Magia / Miembro Wizengamot (PMA),-,Homosexual,Narval,-,Pura,https://i.imgur.com/WwO96kM.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u1343"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=136"">"
u35,11,Catherine Báthory,,,,,,,,,,,,,,,,,,,,,,,"<a href=""https://www.hogwartsrol.com/u35"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=11"">"
u3447,137,Charles Wiggin,,,,,Hufflepuff,Estudiante,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u3447"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=137"">"
u11,95,Charlotte Beckett,,,,,Hufflepuff,Adulto,A,Mortífago,Humano,Mujer,Mortífago,40,-,Locutor de FM,Heterosexual,Pantera Negra,Legeremancia,Pura,https://i.imgur.com/C40is9U.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u11"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=95"">"
u3395,12,Cheryl Edgewood,,,,,Hufflepuff,Adulto,A,-,Humano,Mujer,,25,Trabajador de Honeydukes,-,Bisexual,Esfinge,-,Pura,https://i.imgur.com/qAhE9ym.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3395"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=12"">"
u917,170,Chuck Graham,,,,,Gryffindor,Adulto,A,Neutral,Veela,Hombre,-,30,-,-,Bisexual,Rinoceronte,-,Pura,https://i.imgur.com/6vupqx3.png,Si,,,"<a href=""https://www.hogwartsrol.com/u917"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=170"">"
u3035,78,Clementine Flint,,,,,Ravenclaw,Estudiante,1,Neutral,Veela,Mujer,-,11,Golpeador Ravenclaw,-,Heterosexual,Pájaro Secretario,-,Pura,https://i.imgur.com/4KvJRwP.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3035"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=78"">"
u2750,82,Cormac O'Donovan,,,,,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,Auror,33,Trabajador del Nox,-,Bisexual,Mariposa de Cristal,Espiritismo,Pura,https://i.imgur.com/sQo5azG.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2750"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=82"">"
u1621,20,Darius Bozeman,,,,,Slytherin,Adulto,A,Mortífago,Humano,Hombre,Mortífago,33,Profesor de DCAO / Mortífago / Dueño del Paw Pium Pium,Mod Discord / Mod Misiones,Heterosexual,Lobo Rojo,-,Pura,https://i.imgur.com/1PAoIoW.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1621"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=20"">"
u2514,37,Darius Steward,,,,,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,-,26,Inefable / Profesinal DRCM,Mod.  Rituales,Bisexual,Snallygaster,Parsel,Mestiza,https://i.imgur.com/nQwpTUv.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2514"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=37"">"
u3132,126,Darya Bleer,,,,,Slytherin,Estudiante,5,Neutral,Sirena,Mujer,-,15,-,-,Bisexual,Serpiente Oxyuranus,-,Pura,https://i.imgur.com/cEJ9jzV.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3132"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=126"">"
u803,144,David Lyon,,,,,Ravenclaw,Adulto,A,Neutral,Licántropo,Hombre,-,28,T. Bathory’s Star Sky / Sanador,-,Heterosexual,Pájaro Paradisaeidae/Ave del paraíso,-,Pura,https://i.imgur.com/7AWcY8A.png,Si,,,"<a href=""https://www.hogwartsrol.com/u803"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=144"">"
u3183,61,Deimos H. Windhunter,,,,,Ravenclaw,Estudiante,1,Neutral,Vampiro,Hombre,-,11,Reserva Ravenclaw ,-,Demisexual,Teporingo,-,Pura,https://i.imgur.com/bAjtvcc.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3183"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=61"">"
u32,179,Delphini Riddle,,,,,Slytherin,Adulto,A,Mortífago,Humano,Mujer,-,52,-,-,Heterosexual,Augurey,-,Pura,https://i.imgur.com/LZn4aRu.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u32"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=179"">"
u811,64,Derek Andreani,,,,,Slytherin,Adulto,A,Neutral,Humano,Hombre,-,34,Dueño del Luxxuria,-,Bisexual,Zorro de Darwin,-,Pura,https://i.imgur.com/GdOkWTC.png,Si,,,"<a href=""https://www.hogwartsrol.com/u811"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=64"">"
u1166,180,Dimitry,,,,,-,-,-,Neutral,Deidad,-,-,∞,-,-,Asexual,-,-,-,https://i.imgur.com/oETuGKo.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u1166"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=180"">"
u2357,75,Dorothy Fisher,,,,,Hufflepuff,Estudiante,7,Neutral,Humano,Mujer,-,17,Capitan Golpeador Hufflepuff / Prefecta Huffle,Arbitro Quidditch,Heterosexual,Chinchilla,-,Impura,https://i.imgur.com/OZ2Xk9k.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2357"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=75"">"
u2,8,Duban Black,,,,,Gryffindor,Adulto,A,Auror,Humano,Hombre,Auror,29,Auror,Staff,Bisexual,Caballo Haflinger,Metamorfomagia,Pura,https://i.imgur.com/PuaLzqC.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u2"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=8"">"
u3325,87,E. Skylar Lestrange,,,,,Ravenclaw,Estudiante,7,Neutral,Humano,Hombre,,18,Jugador de Ravenclaw,-,Homosexual,Thestral,-,Pura,https://i.imgur.com/3v2l42l.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3325"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=87"">"
u226,35,Éferon Cabane,,,,,Gryffindor,Adulto,A,Neutral,Humano,Hombre,,27,Enfermero Hogwarts / Profesor Pociones,Lider Moderacion / Jefe de Gryffindor,Homosexual,Lince,-,Impura,https://i.imgur.com/HGVSC9N.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u226"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=35"">"
u1227,30,Eileen Maskelyne,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u1227"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=30"">"
u3004,187,Elizabeth C. Sayre,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u3004"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=187"">"
u3444,107,Elián Idriswenjellu,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u3444"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=107"">"
u2712,50,Eloise G. Wood's,,,,,Slytherin,Estudiante,7,Mortífago,Veela,Mujer,Mortífago,17,A. Mortífago / A. Academia,-,Bisexual,Dragón Bola de Fuego Chino,-,Pura,https://i.imgur.com/Z2rM4CI.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2712"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=50"">"
u1006,118,Emily Wolf,,,,,Hufflepuff,Estudiante,7,Neutral,Humano,Mujer,,17,Cazador de Hufflepuff / Aprendiz DCAO,-,Heterosexual,Lobo Europeo,-,Pura,https://i.imgur.com/pAh03bj.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1006"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=118"">"
u2526,77,Enzo Castellucci,,,,,Slytherin,Adulto,A,Mortífago,Vampiro,Hombre,Mortifago,485,Dueño de La Petite Mort,-,Pansexual,Oso Grizzly,-,Pura,https://i.imgur.com/e4gyzLU.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2526"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=77"">"
u301,91,Erine Lyon,,,,,Ravenclaw,Adulto,A,Neutral,Licántropo,Mujer,,27,Profesionales en Regulación de Criaturas Mágicas / Trabajadores del Bathory’s Star Sky,-,Bisexual,Ave del paraíso,-,Pura,https://i.imgur.com/qH4cur4.png,Si,,,"<a href=""https://www.hogwartsrol.com/u301"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=91"">"
u501,169,Eros Dimakos,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u501"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=169"">"
u3383,93,Eros Greyback,,,,,Gryffindor,Estudiante,7,Neutral,Licántropo,Hombre,,17,-,-,Homosexual,Malamute de Alaska,-,Pura,https://i.imgur.com/mBNEQXQ.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3383"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=93"">"
u3034,73,Etienne L. McDowell,,,,,Ravenclaw,Estudiante,7,Neutral,Humano,Hombre,,17,Cazador de Ravenlcaw / A. de la Academia,Mod. de Registros ,Bisexual,Conejo Holandés,Legeremancia,Pura,https://i.imgur.com/Ggucr5A.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3034"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=73"">"
u1062,181,Ekrizdis,,,,,-,-,-,-,Deidad,-,,∞,-,-,-,-,-,-,https://i.imgur.com/3FIPB7m.jpg,Si,,,"<a href=""https://www.hogwartsrol.com/u1062"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=181"">"
u2135,47,Fae Dalarce,,,,,Ravenclaw,Estudiante,7,Neutral,Humano,Hombre,,17,Aprendiz de Pociones / Ayudante de Faery's Cauldron,EPremio Anual,Homosexual,Gato Ragdoll,-,Pura,https://i.imgur.com/b1fK5CN.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2135"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=47"">"
u1472,116,Gabriel M. Bane,,,,,Hufflepuff,Adulto,A,Auror,Humano,Hombre,,30,J. de CPPYSM en San Mungo,-,Bisexual,Dragón Hébrido negro,-,Pura,https://i.imgur.com/2F2cmSG.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1472"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=116"">"
u3411,27,Gael Richetti,,,,,Hufflepuff,Adulto,A,Mortífago,Vampiro,Hombre,Mortífago,25,Uso Incorrecto de la Magia / Mortífago,-,Bisexual,Gato Herrumbroso,-,Pura,https://i.imgur.com/XgXD5z5.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3411"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=27"">"
u2484,102,Galahad N. Prewett,,,,,Hufflepuff,Adulto ,A,Neutral,Vampiro,Hombre,,25,Jefe DPTO de Rompemaldiciones / Dueño de Borgin y Burkes,-,Pansexual,Augurey,Premonicion,Pura,https://i.imgur.com/LBZOEbR.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2484"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=102"">"
u548,26,Ganimedes Windhunter,,,,,Gryffindor,Adulto,A,Mortífago,Vampiro,Hombre,Mortífago,26,Wizengamot / Mortífago,-,Bisexual,Ave Chara Azul,-,Pura,https://i.imgur.com/AhXGW6f.png,Si,,,"<a href=""https://www.hogwartsrol.com/u548"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=26"">"
u2744,142,Gea V. Marai,,,,,Gryffindor,Adulto,A,Neutral,Sirena,Mujer,,25,P. en Regulación de Criaturas / Dueña de Poenie's Ribbon,-,Bisexual,Hipocampo,Premonicion,Pura,https://i.imgur.com/rFIfKHG.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2744"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=142"">"
u1459,149,Gideon Katsaros,,,,,Hufflepuff,Estudiante,6,Neutral,Humano,Hombre,,16,-,-,Homosexual,-,-,Pura,https://i.imgur.com/UAxq7CS.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1459"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=149"">"
u2309,10,Giffard A. Abbott,,,,,Gryffindor,Adulto,A,Neutral,Humano,Hombre,,32,Sanador / Director de Costello,Mod. Global / Mod. Clubes,Bisexual,Graphorn,-,Pura,https://i.imgur.com/Agxemm4.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2309"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=10"">"
u1443,134,Gold Belinski,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u1443"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=134"">"
u941,62,Gwyndolin Belanger,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u941"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=62"">"
u2988,54,Henry Flint,,,,,Ravenclaw,Estudiante,1,Neutral,Licántropo,Hombre,,11,Jugador de Ravenclaw (Golpeador),-,Indefinido,-,Legeremancia,Pura,https://i.imgur.com/jS6RbVh.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2988"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=54"">"
u1233,135,Hikaru Munetaka,,,,,Gryffindor,Adulto,A,Neutral,Humano,Hombre,,19,Rompemaldiciones / Columnista del The Wizards Journal,-,Bisexual,Unicornio,-,Pura,https://i.imgur.com/VLrJg3O.png,Si,,,"<a href=""https://www.hogwartsrol.com/u1233"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=135"">"
u3141,101,Hilda S. Nygard,,,,,Gryffindor,Adulto,A,Auror,Veela,Mujer,,27,Inefable/Rompemaldiciones/ Auror,,Heterosexual,Abraxan,-,Pura,https://i.imgur.com/x9P7ljl.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3141"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=101"">"
u3072,120,Hunter D. McDowell,,,,,Hufflepuff,Estudiante,7,Neutral,Vampiro,Hombre,,17,Jugador de Hufflepuff / Aprendiz de la Academia,-,Pansexual,-,Espiritismo,Pura,https://i.imgur.com/A2NQgWx.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3072"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=120"">"
u2447,80,Icarus Atwood,,,,,Slytherin,Estudiante,7,Neutral,Licántropo,Hombre,,17,Cazador Slytherin / Aprendiz del la academia,Staff,Bisexual,Perro San Bernardo,-,Impura,https://i.imgur.com/CAxWsDf.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2447"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=80"">"
u2751,148,Illaoi Laveau,,,,,Slytherin,Adulto,A,Mortófago,Veela,Mujer,,27,Socio Costelo / Dueña de Arcana High Bar,-,Heterosexual,Nundu,Espiritismo,Pura,https://i.imgur.com/IqLDqnu.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2751"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=148"">"
u2814,114,Ira Ashehound,,,,,Extranjero,Adulto,A,Neutral,Veela,Hombre,,35,Guardabosques / Sanador,Mod. Gobstons,Demisexual,-,-,Mestiza,https://i.imgur.com/vRy0mOm.png,Si,,,"<a href=""https://www.hogwartsrol.com/u2814"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=114"">"
u1067,188,Iris Quigley,,,,,,,,,,,,,,,,,,,,,No,,"<a href=""https://www.hogwartsrol.com/u1067"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=188"">"
u3142,69,Ivar Solheim,,,,,Slytherin,Estudiante,5,Neutral,Licántropo,Hombre,,15,Golpeador y Prefecto de Slytherin,Moderador de la Cámara de los Sueños,Heterosexual,Lobo de Baffin,-,Pura,https://i.imgur.com/eIYcYlU.png,Si,,,"<a href=""https://www.hogwartsrol.com/u3142"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=69"">"
u354,129,James Scamander,,,,,Gryffindor,Adulto,A,Auror,Humano,Hombre,Auror,50,Auror,Radio,Heterosexual,Tigre Siberiano,-,Pura,https://i.imgur.com/BeyWj0D.png,Si,,,"<a href=""https://www.hogwartsrol.com/u354"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=129"">"
u3455,103,Jeonghwa Song,,,,,,,,,,,,,,,,,,,,,Si,,"<a href=""https://www.hogwartsrol.com/u3455"">","<a href=""https://harrypotterhead.com/foro/index.php?action=profile;u=103"">"
