Nro Usuario,Nombre y Apellido,Casa,Vida,Año,Bando,Raza,Sexo,Miembro,Edad,Empleo OnRol,Empleo OffRol,Orientación Sexual,Patronus,Habilidades,Sangre,Avatar,Directorio
u1164,Basthian,-,-,-,-,Deidad,-,-,∞,-,-,-,-,-,-,https://i.imgur.com/oXDMIIl.jpg,Si
u931,Bastian E. Weasley,Slytherin,Adulto,A,Neutral,Veela,Hombre,-,27,Wizengamot,-,Bisexual,Gato Dorado Asiatico,-,Mestiza,https://i.imgur.com/HXlgc2v.jpg,Si
u3396,Bythos Slughorn,Hufflepuff,Estudiante,7,Neutral,Vampiro,Hombre,-,17,-,-,Bisexual,Granian,-,Pura,https://i.imgur.com/jxjrH98.png,Si
u1343,Caius Black,Slytherin,Adulto,A,Mortífago,Humano,Hombre,Mortífago,33,Profesional Uso Incorrecto de la Magia / Miembro Wizengamot (PMA),-,Homosexual,Narval,-,Pura,https://i.imgur.com/WwO96kM.jpg,Si
u35,Catherine Báthory,Slytherin,Adulto,A,Neutral,Humano,Mujer,-,25,Wizengamot,Diseñador,Bisexual,Tigre Blanco de Bengala,-,Pura,https://i.imgur.com/j1qh4Oh.jpg,Si
u1094,Charlie Wakefield,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,-,28,-,-,Indefinido,Babuino,-,Pura,https://i.imgur.com/YXrUc1V.jpg,Si
u11,Charlotte Beckett,Hufflepuff,Adulto,A,Mortífago,Humano,Mujer,Mortífago,40,-,Locutor de FM,Heterosexual,Pantera Negra,Legeremancia,Pura,https://i.imgur.com/C40is9U.jpg,Si
u3395,Cheryl Edgewood,Hufflepuff,Adulto,A,-,Humano,Mujer,,25,Trabajador de Honeydukes,-,Bisexual,Esfinge,-,Pura,https://i.imgur.com/qAhE9ym.png,Si
u1473,Christopher Fowler,Hufflepuff,Estudiante,7,Neutral,Humano,Hombre,,19,-,Premio Anual Hufflepuff,Heterosexual,Welsh Corgi (Perro),-,Impura,https://i.imgur.com/K7L3dHu.png,Si
u917,Chuck Graham,Gryffindor,Adulto,A,Neutral,Veela,Hombre,-,30,-,-,Bisexual,Rinoceronte,-,Pura,https://i.imgur.com/6vupqx3.png,Si
u3035,Clementine Flint,Ravenclaw,Estudiante,1,Neutral,Veela,Mujer,-,11,Golpeador Ravenclaw,-,Heterosexual,Pájaro Secretario,-,Pura,https://i.imgur.com/4KvJRwP.png,Si
u2750,Cormac O'Donovan,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,Auror,33,Trabajador del Nox,-,Bisexual,Mariposa de Cristal,Espiritismo,Pura,https://i.imgur.com/sQo5azG.png,Si
u3244,Danielle Versace,Slytherin,Estudiante,5,Neutral,Sirena,Mujer,-,15,-,-,Bisexual,Zorra Vulpini,-,Pura,https://i.imgur.com/Zhb6GJZ.png,Si
u1621,Darius Bozeman,Slytherin,Adulto,A,Mortífago,Humano,Hombre,Mortífago,33,Profesor de DCAO / Mortífago / Dueño del Paw Pium Pium,Mod Discord / Mod Misiones,Heterosexual,Lobo Rojo,-,Pura,https://i.imgur.com/1PAoIoW.png,Si
u2514,Darius Steward,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,-,26,Inefable / Profesinal DRCM,Mod.  Rituales,Bisexual,Snallygaster,Parsel,Mestiza,https://i.imgur.com/nQwpTUv.png,Si
u3132,Darya Bleer,Slytherin,Estudiante,5,Neutral,Sirena,Mujer,-,15,-,-,Bisexual,Serpiente Oxyuranus,-,Pura,https://i.imgur.com/cEJ9jzV.png,Si
u803,David Lyon,Ravenclaw,Adulto,A,Neutral,Licántropo,Hombre,-,28,T. Bathory’s Star Sky / Sanador,-,Heterosexual,Pájaro Paradisaeidae/Ave del paraíso,-,Pura,https://i.imgur.com/7AWcY8A.png,Si
u3183,Deimos H. Windhunter,Ravenclaw,Estudiante,1,Neutral,Vampiro,Hombre,-,11,Reserva Ravenclaw ,-,Demisexual,Teporingo,-,Pura,https://i.imgur.com/bAjtvcc.png,Si
u32,Delphini Riddle,Slytherin,Adulto,A,Mortífago,Humano,Mujer,-,52,-,-,Heterosexual,Augurey,-,Pura,https://i.imgur.com/LZn4aRu.jpg,Si
u811,Derek Andreani,Slytherin,Adulto,A,Neutral,Humano,Hombre,-,34,Dueño del Luxxuria,-,Bisexual,Zorro de Darwin,-,Pura,https://i.imgur.com/GdOkWTC.png,Si
u1166,Dimitry,-,-,-,Neutral,Deidad,-,-,∞,-,-,Asexual,-,-,-,https://i.imgur.com/oETuGKo.jpg,Si
u2357,Dorothy Fisher,Hufflepuff,Estudiante,7,Neutral,Humano,Mujer,-,17,Capitan Golpeador Hufflepuff / Prefecta Huffle,Arbitro Quidditch,Heterosexual,Chinchilla,-,Impura,https://i.imgur.com/OZ2Xk9k.png,Si
u2,Duban Black,Gryffindor,Adulto,A,Auror,Humano,Hombre,Auror,29,Auror,Staff,Bisexual,Caballo Haflinger,Metamorfomagia,Pura,https://i.imgur.com/PuaLzqC.jpg,Si
u3325,E. Skylar Lestrange,Ravenclaw,Estudiante,7,Neutral,Humano,Hombre,,18,Jugador de Ravenclaw,-,Homosexual,Thestral,-,Pura,https://i.imgur.com/3v2l42l.png,Si
u226,Éferon Cabane,Gryffindor,Adulto,A,Neutral,Humano,Hombre,,27,Enfermero Hogwarts / Profesor Pociones,Lider Moderacion / Jefe de Gryffindor,Homosexual,Lince,-,Impura,https://i.imgur.com/HGVSC9N.jpg,Si
u1062,Ekrizdis,-,-,-,-,Deidad,-,,∞,-,-,-,-,-,-,https://i.imgur.com/3FIPB7m.jpg,Si
u2712,Eloise G. Wood's,Slytherin,Estudiante,7,Mortífago,Veela,Mujer,Mortífago,17,A. Mortífago / A. Academia,-,Bisexual,Dragón Bola de Fuego Chino,-,Pura,https://i.imgur.com/Z2rM4CI.png,Si
u1006,Emily Wolf,Hufflepuff,Estudiante,7,Neutral,Humano,Mujer,,17,Cazador de Hufflepuff / Aprendiz DCAO,-,Heterosexual,Lobo Europeo,-,Pura,https://i.imgur.com/pAh03bj.png,Si
u2526,Enzo Castellucci,Slytherin,Adulto,A,Mortífago,Vampiro,Hombre,Mortifago,485,Dueño de La Petite Mort,-,Pansexual,Oso Grizzly,-,Pura,https://i.imgur.com/e4gyzLU.png,Si
u301,Erine Lyon,Ravenclaw,Adulto,A,Neutral,Licántropo,Mujer,,27,Profesionales en Regulación de Criaturas Mágicas / Trabajadores del Bathory’s Star Sky,-,Bisexual,Ave del paraíso,-,Pura,https://i.imgur.com/qH4cur4.png,Si
u3383,Eros Greyback,Gryffindor,Estudiante,7,Neutral,Licántropo,Hombre,,17,-,-,Homosexual,Malamute de Alaska,-,Pura,https://i.imgur.com/mBNEQXQ.png,Si
u3034,Etienne L. McDowell,Ravenclaw,Estudiante,7,Neutral,Humano,Hombre,,17,Cazador de Ravenlcaw / A. de la Academia,Mod. de Registros ,Bisexual,Conejo Holandés,Legeremancia,Pura,https://i.imgur.com/Ggucr5A.png,Si
u2135,Fae Dalarce,Ravenclaw,Estudiante,7,Neutral,Humano,Hombre,,17,Aprendiz de Pociones / Ayudante de Faery's Cauldron,EPremio Anual,Homosexual,Gato Ragdoll,-,Pura,https://i.imgur.com/b1fK5CN.png,Si
u1472,Gabriel M. Bane,Hufflepuff,Adulto,A,Auror,Humano,Hombre,,30,J. de CPPYSM en San Mungo,-,Bisexual,Dragón Hébrido negro,-,Pura,https://i.imgur.com/2F2cmSG.png,Si
u3411,Gael Richetti,Hufflepuff,Adulto,A,Mortífago,Vampiro,Hombre,Mortífago,25,Uso Incorrecto de la Magia / Mortífago,-,Bisexual,Gato Herrumbroso,-,Pura,https://i.imgur.com/XgXD5z5.png,Si
u2484,Galahad N. Prewett,Hufflepuff,Adulto ,A,Neutral,Vampiro,Hombre,,25,Jefe DPTO de Rompemaldiciones / Dueño de Borgin y Burkes,-,Pansexual,Augurey,Premonicion,Pura,https://i.imgur.com/LBZOEbR.png,Si
u548,Ganimedes Windhunter,Gryffindor,Adulto,A,Mortífago,Vampiro,Hombre,Mortífago,26,Wizengamot / Mortífago,-,Bisexual,Ave Chara Azul,-,Pura,https://i.imgur.com/AhXGW6f.png,Si
u2744,Gea V. Marai,Gryffindor,Adulto,A,Neutral,Sirena,Mujer,,25,P. en Regulación de Criaturas / Dueña de Poenie's Ribbon,-,Bisexual,Hipocampo,Premonicion,Pura,https://i.imgur.com/rFIfKHG.png,Si
u1459,Gideon Katsaros,Hufflepuff,Estudiante,6,Neutral,Humano,Hombre,,16,-,-,Homosexual,-,-,Pura,https://i.imgur.com/UAxq7CS.png,Si
u2309,Giffard A. Abbott,Gryffindor,Adulto,A,Neutral,Humano,Hombre,,32,Sanador / Director de Costello,Mod. Global / Mod. Clubes,Bisexual,Graphorn,-,Pura,https://i.imgur.com/Agxemm4.png,Si
u452,Hécate Windhunter,Hufflepuff,Adulto,A,Neutral,Humano,Mujer,,30,T. Ragnarok,-,Heterosexual,Dragón Ironbelly Ucraniano,-,Pura,https://i.imgur.com/3KEIc3W.png,Si
u2988,Henry Flint,Ravenclaw,Estudiante,1,Neutral,Licántropo,Hombre,,11,Jugador de Ravenclaw (Golpeador),-,Indefinido,-,Legeremancia,Pura,https://i.imgur.com/jS6RbVh.png,Si
u1233,Hikaru Munetaka,Gryffindor,Adulto,A,Neutral,Humano,Hombre,,19,Rompemaldiciones / Columnista del The Wizards Journal,-,Bisexual,Unicornio,-,Pura,https://i.imgur.com/VLrJg3O.png,Si
u3141,Hilda S. Nygard,Gryffindor,Adulto,A,Auror,Veela,Mujer,,27,Inefable/Rompemaldiciones/ Auror,,Heterosexual,Abraxan,-,Pura,https://i.imgur.com/x9P7ljl.png,Si
u3072,Hunter D. McDowell,Hufflepuff,Estudiante,7,Neutral,Vampiro,Hombre,,17,Jugador de Hufflepuff / Aprendiz de la Academia,-,Pansexual,-,Espiritismo,Pura,https://i.imgur.com/A2NQgWx.png,Si
u2447,Icarus Atwood,Slytherin,Estudiante,7,Neutral,Licántropo,Hombre,,17,Cazador Slytherin / Aprendiz del la academia,Staff,Bisexual,Perro San Bernardo,-,Impura,https://i.imgur.com/CAxWsDf.png,Si
u2751,Illaoi Laveau,Slytherin,Adulto,A,Mortófago,Veela,Mujer,,27,Socio Costelo / Dueña de Arcana High Bar,-,Heterosexual,Nundu,Espiritismo,Pura,https://i.imgur.com/IqLDqnu.png,Si
u2296,Incarna Askanios,Gryffindor,Adulto,A,Neutral,Veela,Mujer,,25,Profesor/a Suplente,-,Heterosexual,-,-,Pura,https://i.imgur.com/V45psc1.png,Si
u2814,Ira Ashehound,Extranjero,Adulto,A,Neutral,Veela,Hombre,,35,Guardabosques / Sanador,Mod. Gobstons,Demisexual,-,-,Mestiza,https://i.imgur.com/vRy0mOm.png,Si
u3142,Ivar Solheim,Slytherin,Estudiante,5,Neutral,Licántropo,Hombre,,15,Golpeador y Prefecto de Slytherin,Moderador de la Cámara de los Sueños,Heterosexual,Lobo de Baffin,-,Pura,https://i.imgur.com/eIYcYlU.png,Si
u354,James Scamander,Gryffindor,Adulto,A,Auror,Humano,Hombre,Auror,50,Auror,Radio,Heterosexual,Tigre Siberiano,-,Pura,https://i.imgur.com/BeyWj0D.png,Si
u17,Jin Kleverk,Gryffindor,Adulto,A,Auror,Veela,Hombre,Auror,25,Auror / Dueño de Global Star Entertainment / Profesor Vuelo,Mod. de Cámara de Creación y Registros / Examinador de Aparición,Bisexual,Alpaca,-,Pura,https://i.imgur.com/PpulvDC.png,Si
u2395,Johanna Grindelwald,Slytherin,Estudiante,7,Neutral,Humano,Mujer,Mortífago,18,Inéfable / Mortífago,-,Bisexual,Águila Arpía,-,Pura,https://i.imgur.com/3Cot8sK.png,Si
u38,John Reese,Muggle,Adulto,A,Neutral,Humano,Hombre,,53,-,-,Heterosexual,-,-,-,https://i.imgur.com/DPxyuBc.png,Si
u1503,Joseph White ,Muggle,Adulto,A,Neutral,Humano,Hombre,,70,-,-,Heterosexual,-,-,-,https://i.imgur.com/uqY5icB.png,Si
u1193,Julian E. Defoe,Hufflepuff,Adulto,A,Neutral,Híbrido H+V,Hombre,,31,Dueño de Plant y Seeds / Profesionales en Regulación de Criaturas Mágicas,-,Heterosexual,Aguililla Cola Roja,-,Pura,https://i.imgur.com/VrPQ2zd.png,Si
u2245,Julieta Richetti,Ravenclaw,Adulto,A,Neutral,Humano,Mujer,,25,Inefable / Jefa Segurida Mágica,Diseño / Redes,Bisexual,Tigre Malayo,Oclumancia,Pura,https://i.imgur.com/Vn2VoR4.png,Si
u3102,Junniper R. Scamander,Hufflepuff,Estudiante,6,Neutral,Humano,Mujer,,16,Aprendiz DCRM,-,Bisexual,Qilin,Oclumancia,Mestiza,https://i.imgur.com/th5xM25.png,Si
u3005,Junseo Kleverk,Slytherin,Estudiante,5,Neutral,Humano,Hombre,,15,Aprendiz Mortífago,-,Bisexual,Avispa Roja,-,Pura,https://i.imgur.com/AY7IU6c.png,Si
u3124,Khamila Andreani,Gryffindor,Adulto,A,Neutral,Hibrido Si+H,Mujer,,36,Profesor de la academia / Dueña de Vinos Zabini,-,Bisexual,Lince Ibérico,-,Pura,https://i.imgur.com/zYzL0VW.png,Si
u2317,Klaus Wolfskinder,Slytherin,Estudiante,7,Neutral,Licántropo,Hombre,,18,Prefecto Slytherin / Capitan Slytherin ,,Heterosexual,Perro Bobtail,-,Pura,https://i.imgur.com/RYsbILA.png,Si
u3033,L. Danae Dimou,Slytherin,Estudiante,7,Mortífago,Licántropo,Mujer,Mortífago,17,Ayudante de Honeydukes / A. Mortífago,-,Demisexual,Cuervo Común,-,Mestiza,https://i.imgur.com/My75WQz.png,Si
u782,Larissa N. Wolf,Ravenclaw,Adulto,A,Mortífago,Humano,Mujer,Mortífago,33,Inefable / Dueño de Ragnarok / Mortífago,Narradores de Duelos y Misiones,Bisexual,Kitsune,-,Pura,https://i.imgur.com/uPhVHra.jpg,Si
u933,Leah Nott,Slytherin,Adulto,A,Neutral,Híbrido Va+Ve,Mujer,,25,Profesora de Encantamiento / Wizangamont,Jefe de Slytherin,Bisexual,Gato Bengalí,-,Mestiza,https://i.imgur.com/7YSs1u6.png,Si
u1171,Leticia de RH,Extranjero,Adulto,A,Neutral,Humano,Mujer,,35,Recursos Humanos,-,Heterosexual,-,-,Impura,https://i.imgur.com/DGhb9W6.png,Si
u892,Lillie Windhunter,Gryffindor,Adulto,A,Neutral,Vampiro,Mujer,,30,J. de Sanción en Hogwarst / D. Fleur,Staff,Heterosexual,Pájaro colorín azul,-,Pura,https://i.imgur.com/D8inLzj.jpg,Si
u3313,Lissandra Bane,Hufflepuff,Adulto,A,Auror,Humano,Mujer,,23,Inefable,-,Heterosexual,Visón,-,Pura,https://i.imgur.com/fPFnxOs.png,Si
u2000,Logan Allen,Gryffindor,Adulto,A,Auror,Humano,Hombre,Auror,27,Auror / Jefe del Dpto. Misterios ,Mod. misiones / Columnista,Bisexual,Tigre de Béngala real,-,Pura,https://i.imgur.com/zrUpCbQ.png,Si
u1274,Luca Cabane,Ravenclaw,Adulto,A,Neutral,Humano,Hombre,,34,-,-,Bisexual,Tucán,-,Impura,https://i.imgur.com/pEoN0VL.png,Si
u3029,Lyrie D. Argent,Ravenclaw,Estudiante,6,Neutral,Licántropo,Mujer,,17,Jugador Ravenclaw / A. Sanador / A. Morti,Mod. misiones / Diseñador,Bisexual,Nutria,-,Pura,https://i.imgur.com/mOqozdX.png,Si
u322,Mack Wyse,Slytherin,Adulto,A,Neutral,Humano,Hombre,,35,Dueño del Little Moon / T. del Bathory’s Star Sky,-,Heterosexual,Pingüino,-,Impura,https://i.imgur.com/npFW0en.jpg,Si
u1370,Madisson S. Howells,Ravenclaw,Adulto,A,Auror,Veela,Mujer,Auror,20,Auror,Cronista,Heterosexual,Mariposa Ulises,-,Pura,https://i.imgur.com/mxY4U0o.png,Si
u1103,Magnus Greengrass,Slytherin,Adulto,A,Mortífago,Vampiro,Hombre,Mortífago,29,P. Hª Magia / Sublider Mortifago / Miembro Wizengamot,Mod Pociones,Bisexual,Alcaudon pio,-,Pura,https://i.imgur.com/AdTLsEc.png,Si
u1352,Marcus Marlowe,Hufflepuff,Adulto,A,Neutral,Licántropo,Hombre,,33,P. Runas Antiguas / Dueño de Flourish & Blotts,Ex. Magia no Verbal/ Jefe Hufflepuff,Demisexual,Aguilucho Lagunero,-,Impura,https://i.imgur.com/XcTeAkv.png,Si
u332,Maurice Pusset,Slytherin,Adulto,A,Neutral,Humano,Hombre,Auror,23,Auror,-,Bisexual,Frailecillo atlántico,-,Mestiza,https://i.imgur.com/zgbXGpW.png,Si
u1299,Meredith G. Marlowe,Ravenclaw,Estudiante,7,Neutral,Sirena,Mujer,,17,A. Rompemaldiciones / Capitán Ravenclaw,-,Bisexual,Quetzal crestado,-,Pura,https://i.imgur.com/TFCNrNq.png,Si
u2707,Merlín,Slytherin,Adulto,A,Auror,Humano,Hombre,Auror,1604,Lider Auror,-,Heterosexual,Ciervo Rojo,Premonición,Pura,https://i.imgur.com/lzhUFmG.png,Si
u594,Mordred Le Fay,Slytherin,Adulto,A,Mortífago,Licántropo,Hombre,,35,D. Nox / Socio Costello,-,Bisexual,Pitón Regius,-,Pura,https://i.imgur.com/DfMd0ii.png,Si
u667,Morgan Fairchild,Ravenclaw,Adulto,A,Neutral,Licántropo,Mujer,,33,Sanador en Hogwarts / D. Umbra Clinic,-,Heterosexual,Lobo Negro,-,Pura,https://i.imgur.com/sly1TSp.png,Si
u1453,Morgana Le Fay,Extranjero,Adulto,A,Mortífago,Humano,Mujer,Mortífago,1500,Líder Mortífago,-,Bisexual,Cuervo americano,Legeremancia,Pura,https://i.imgur.com/OfbYSNs.png,Si
u2819,Nathan A. Carrow,Slytherin,Adulto,A,Neutral,Humano,Hombre,,26,Sanador en Hogwarts,-,Heterosexual,Caiman Negro,-,Pura,https://i.imgur.com/Af68LKR.png,Si
u3117,Nelson Kilpatrick,Gryffindor,Adulto,A,Auror,Humano,Hombre,Auror,29,Auror,,Heterosexual,Escarbato,-,Mestiza,https://i.imgur.com/lFPOJ1e.png,Si
u2718,Neria Spektral,Slytherin,Estudiante,7,Neutral,Humano,Mujer,,18,A. Sanador/ Buscadora Slytherin,Mod. Registro/ Mod. Cámara de los sueños/Premio anual Slytherin,Demisexual,Vipera Albizona,-,Pura,https://i.imgur.com/0Gq1nx5.png,Si
u2537,Nimue E. Valerius,Hufflepuff,Adulto,A,Neutral,Humano,Mujer,,31,Duño de Vimue Dalerius Pub / J. de Quidditch Profesional,-,Homosexual,Musaraña,-,Mestiza,https://i.imgur.com/JnTHntz.png,Si
u2862,Noah Clearwater,Gryffindor,Estudiante,7,Neutral,Sirena,Mujer,,18,A. Aritmancia / Buscador Gryffindor,Mod Gobstons,Heterosexual,,-,Pura,https://i.imgur.com/jkGXDfs.png,Si
u1606,Noah Malfoy,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,,20,-,-,Heterosexual,Gato Azul Ruso,-,Pura,https://i.imgur.com/5kLMoI7.png,Si
u3041,Ophelia E. Greengrass,Slytherin,Estudiante,5,Neutral,Humano,Mujer,,16,-,-,Heterosexual,Ornitorrinco,Metamorfomagia,Pura,https://i.imgur.com/S17VdJS.png,Si
u1090,Paolo Sanna,Hufflepuff,Adulto,A,Neutral,Humano,Hombre,,29,-,-,Bisexual,Lirón Gris,-,Impura,https://i.imgur.com/n3vOuR2.png,Si
u2992,Paul Whit,Ravenclaw,Estudiante,7,Neutral,Humano,Hombre,,17,A. Inefable / Prefecto de Ravenclaw,Columnista / Examinador general,Pansexual,Colibrí,-,Mestiza,https://i.imgur.com/JR09D9H.png,Si
u3376,Penélope Featherington,Hufflepuff,Estudiante,6,Auror,Humano,Mujer,,16,Ayudante Flourish & Blotts,-,Heterosexual,Golondrina Común,-,Pura,https://i.imgur.com/wHvhLq0.png,Si
u1109,Perseo Katsaros,Slytherin,Adulto,A,Neutral,Humano,Hombre,,18,Bibliotecario/Dueño Bótica Slug&Jiggers,Staff,Homosexual,Comadreja,-,Mestiza,https://i.imgur.com/n4bWVPG.png,Si
u833,Persephone A. Windhunter,Slytherin,Estudiante,7,Mortífago,Humano,Mujer,Mortífago,19,A. Academia / Prefecto Slytherin / A. Morti,-,Heterosexual,Aethonan,-,Pura,https://i.imgur.com/R17ucz4.jpg,Si
u2728,Peter Peverell,Slytherin,Adulto,A,Neutral,Licántropo,Hombre,,22,Rompemaldiciones / Socio de Costello,-,Bisexual,Araña Viuda Negra,-,Pura,https://i.imgur.com/3Oqgbky.png,Si
u2815,Petrichor R. Warlock,Gryffindor,Estudiante,7,Neutral,Veela,Mujer,,18,-,Mod Nimbus,Demisexual,Petauro,-,Pura,https://i.imgur.com/GDWWULs.png,Si
u2521,Philippe Delacour,Extranjero,Adulto,A,Neutral,Hibrido Vee + Va,Hombre,,32,-,-,Bisexual,Doxy,-,Metiza,https://i.imgur.com/ERmhCY4.png,Si
u3143,Ricardo Suarez,Slytherin,Adulto,A,Neutral,Híbrido Ve+Si,Hombre,,23,Sanador,-,Bisexual,-,-,Mestiza,https://i.imgur.com/tBB8FjH.png,Si
u1517,Riley McAdams,Slytherin,Estudiante,7,Neutral,Híbrido Hu+Va,Mujer,,17,Aprendiz de Misterios,-,Heterosexual,Tigrillo,-,Pura,https://i.imgur.com/jIyff2F.png,Si
u988,River Greyback,Slytherin,Adulto,A,Mortífago,Licántropo,Hombre,Mortífago,20,Mortífago / Profesional del Uso Incorrecto de la Magia ,-,Bisexual,Águila real,-,Pura,https://i.imgur.com/PwNOl6C.jpg,Si
u2006,Rowan McGrath,Muggle,Adulto,A,Neutral,Humano,Hombre,,43,Lider de la Mafia Muggle,-,Heterosexual,-,-,-,https://i.imgur.com/x68dE2T.jpg,Si
u3371,Rye Richetti,Gryffindor,Estudiante,6,Neutral,Humano,Mujer,,16,-,-,Heterosexual,Oso Panda,-,Pura,https://i.imgur.com/I8iEfCZ.png,Si
u3202,Sabrina Starlight,Ravenclaw,Estudiante,3,Neutral,Híbrido Si+Hu,Mujer,,14,,,Bisexual,-,-,Pura,https://i.imgur.com/mBIUY7y.png,Si
u419,Sachiko Ogasawara,Slytherin,Adulto,A,Neutral,Vampiro,Mujer,,21,P. Uso incorrecto mágia,-,Homosexual,Dragón Bola de Fuego Chino,-,Pura,https://i.imgur.com/n7dXl3J.png,Si
u1544,Samantha P. Quinn,Slytherin,Estudiante,7,Neutral,Humano,Mujer,,18,,,Bisexual,Gato Khao Manee,-,Pura,https://i.imgur.com/VS7PGnX.png,Si
