"itemid","name","image","description","price","stock","module","info1","info2","info3","info4","input_needed","can_use_item","delete_after_use","catid","status","itemlimit"
"69","Navaja Suiza","migrated/Objetos____Armas_Blancas____Navaja_Suiza.png","Daga de bolsillo, un arma de uso corriente. Normalmente los pandilleros suelen utilizarla para amenazar a sus víctimas.","250","999","0","0","0","0","0","0","0","0","2","0","0"
"70","Punzón","migrated/Objetos____Armas_Blancas____Punzon.png","Una punta de metal sin filo a los lados, tan solo su punta posee la capacidad de perforar cualquier material blando aplicando la fuerza necesaria.","150","999","0","0","0","0","0","0","0","0","2","0","0"
"71","Abraxan","migrated/Objetos____Criaturas____Abraxan.png","Una de las especies de caballo volador con pelaje marrón claro.","3000","999","0","0","0","0","0","0","0","0","3","0","0"
"72","Aethonan","migrated/Objetos____Criaturas____Aethonan.png","Una de las especies de caballo volador con pelaje marrón oscuro.","3000","999","0","0","0","0","0","0","0","0","3","0","0"
"73","Ardilla","migrated/Objetos____Criaturas____Ardilla.png","Las ardillas son roedores ágiles de cola tupida que podemos encontrar en todos los rincones del mundo.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"74","Ave Fénix","migrated/Objetos____Criaturas____Ave_Fenix.jpg","La majestuosa ave de fuego, cada tanto tiempo se muere para volver a renacer.","1500","999","0","0","0","0","0","0","0","0","3","0","0"
"75","Ave Ninfa","migrated/Objetos____Criaturas____Ave_Ninfa.png","Son aves inteligentes y de carácter amable. Se adaptan fácilmente y prenden a interactuar y comunicarse con las personas que aman a través de sus cantos y silbidos.","150","999","0","0","0","0","0","0","0","0","3","0","0"
"76","Bowtruckle","migrated/Objetos____Criaturas____Bowtruckle.png","Esta peculiar criatura que aparenta ser una verde rama es ideal para los creadores de varitas porque les encantan los árboles con maderas perfectas para crear estas herramientas mágicas.","500","999","0","0","0","0","0","0","0","0","3","0","0"
"77","Búho Real","migrated/Objetos____Criaturas____Buho_Real.png","Es un ave rapaz de gran tamaño, una especie de alas anchas y se caracteriza por un vuelo fuerte y directo.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"78","Búho Real Euroasiático","migrated/Objetos____Criaturas____Buho_Real_Euroasiatico.png","Hermoso ejemplar de ave rapaz de plumaje blanco y azul. Es una especie de alas anchas y un vuelo directo además de su gran tamaño.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"79","Búho del Desierto","migrated/Objetos____Criaturas____Buho_del_Desierto.png","Es un ave rapaz de pequeño tamaño que sale de cacería al anochecer para devorar pequeños mamíferos en un radio de 5km.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"80","Caballo Andaluz","migrated/Objetos____Criaturas____Caballo_Andaluz.png","Hermoso équido de brillante pelaje blanco originario de Andalucía. Es una de las razas más antiguas del mundo.","1000","999","0","0","0","0","0","0","0","0","3","0","0"
"81","Carpincho","migrated/Objetos____Criaturas____Carpincho.png","Roedor más grande del mundo, amigable y doméstico.","300","999","0","0","0","0","0","0","0","0","3","0","0"
"82","Caballo Frisón","migrated/Objetos____Criaturas____Caballo_Frison.png","Hermoso y noble équido con sedoso pelaje negro originario de los Países bajos.","1000","999","0","0","0","0","0","0","0","0","3","0","0"
"83","Cabra","migrated/Objetos____Criaturas____Cabra.png","Pequeño mamífero rumiante, ágil para saltar y subir lugares escarpados.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"84","Cerdito doméstico","migrated/Objetos____Criaturas____Cerdito_domestico.png","Cerdo pequeño y juguetón que no suele crecer demasiado a lo largo de su vida.","200","999","0","0","0","0","0","0","0","0","3","0","0"
"85","Chizpurfle","migrated/Objetos____Criaturas____Chizpurfle.png","Pequeños parásitos de medio centímetro de alto; se parecen a los cangrejos y poseen unos colmillos considerables.","500","999","0","0","0","0","0","0","0","0","3","0","0"
"86","Clabbert","migrated/Objetos____Criaturas____Clabbert.png","Criatura que vive en los árboles, con un aspecto parecido a un cruce entre un mono y una rana. Es originario de América del Sur.","500","999","0","0","0","0","0","0","0","0","3","0","0"
"87","Conejo","migrated/Objetos____Criaturas____Conejo.png","Un lindo animal que te hará compañía aunque sea difícil de seguir por sus saltos","250","999","0","0","0","0","0","0","0","0","3","0","0"
"88","Crup","migrated/Objetos____Criaturas____Crup.jpg","Un perro con dos colas, sumamente fiel a los magos. Es ilegal tener uno en poblaciones muggles sin cortarle una de sus colas.","500","999","0","0","0","0","0","0","0","0","3","0","0"
"89","Cuervo","migrated/Objetos____Criaturas____Cuervo.png","Un cuervo negro amaestrado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"90","Cuyo","migrated/Objetos____Criaturas____Cuyo.png","Un pequeño y adorable roedor muy sociable y cariñosos después de tomar confianza.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"91","Demiguise","migrated/Objetos____Criaturas____Demiguise.png","Es un ser pacífico, herbívoro que puede hacerse invisible.","1000","999","0","0","0","0","0","0","0","0","3","0","0"
"92","Diricawl","migrated/Objetos____Criaturas____Diricawl.png","Ave de plumaje esponjoso y cuerpo rechoncho incapaz de volar. Posee la capacidad de desaparecer en un estallido de plumas y volver a aparecer en otro lugar cuando es amenazado. Los muggles sabían de la existencia del diricawl, aunque lo conocían como dodo","500","999","0","0","0","0","0","0","0","0","3","0","0"
"93","Elfos Domésticos 1","migrated/Objetos____Criaturas____Elfos_Domesticos_1.png","Es una criatura mágica que es inmensamente devota y leal a la persona designada como su amo. Los elfos domésticos sirven a magos y brujas y generalmente se encuentran bajo el empleo de viejas familias de magos que residen en establecimientos elaborados, c","0","0","0","0","0","0","0","0","0","0","3","0","0"
"94","Elfos Domésticos 2","migrated/Objetos____Criaturas____Elfos_Domesticos_2.png","Es una criatura mágica que es inmensamente devota y leal a la persona designada como su amo. Los elfos domésticos sirven a magos y brujas y generalmente se encuentran bajo el empleo de viejas familias de magos que residen en establecimientos elaborados, c","0","0","0","0","0","0","0","0","0","0","3","0","0"
"95","Elfos Domésticos 3","migrated/Objetos____Criaturas____Elfos_Domesticos_3.png","Es una criatura mágica que es inmensamente devota y leal a la persona designada como su amo. Los elfos domésticos sirven a magos y brujas y generalmente se encuentran bajo el empleo de viejas familias de magos que residen en establecimientos elaborados, c","0","0","0","0","0","0","0","0","0","0","3","0","0"
"96","Elfos Domésticos 4","migrated/Objetos____Criaturas____Elfos_Domesticos_4.png","Es una criatura mágica que es inmensamente devota y leal a la persona designada como su amo. Los elfos domésticos sirven a magos y brujas y generalmente se encuentran bajo el empleo de viejas familias de magos que residen en establecimientos elaborados, c","0","0","0","0","0","0","0","0","0","0","3","0","0"
"97","Elfos Domésticos 5","migrated/Objetos____Criaturas____Elfos_Domesticos_5.png","Es una criatura mágica que es inmensamente devota y leal a la persona designada como su amo. Los elfos domésticos sirven a magos y brujas y generalmente se encuentran bajo el empleo de viejas familias de magos que residen en establecimientos elaborados, c","0","0","0","0","0","0","0","0","0","0","3","0","0"
"98","Elfos Domésticos 6","migrated/Objetos____Criaturas____Elfos_Domesticos_6.png","Es una criatura mágica que es inmensamente devota y leal a la persona designada como su amo. Los elfos domésticos sirven a magos y brujas y generalmente se encuentran bajo el empleo de viejas familias de magos que residen en establecimientos elaborados, c","0","0","0","0","0","0","0","0","0","0","3","0","0"
"99","Elfos Domésticos 7","migrated/Objetos____Criaturas____Elfos_Domesticos_7.png","Es una criatura mágica que es inmensamente devota y leal a la persona designada como su amo. Los elfos domésticos sirven a magos y brujas y generalmente se encuentran bajo el empleo de viejas familias de magos que residen en establecimientos elaborados, c","0","0","0","0","0","0","0","0","0","0","3","0","0"
"100","Elfos Domésticos 8","migrated/Objetos____Criaturas____Elfos_Domesticos_8.png","Es una criatura mágica que es inmensamente devota y leal a la persona designada como su amo. Los elfos domésticos sirven a magos y brujas y generalmente se encuentran bajo el empleo de viejas familias de magos que residen en establecimientos elaborados, c","0","0","0","0","0","0","0","0","0","0","3","0","0"
"101","Elfos Domésticos 9","migrated/Objetos____Criaturas____Elfos_Domesticos_9.png","Es una criatura mágica que es inmensamente devota y leal a la persona designada como su amo. Los elfos domésticos sirven a magos y brujas y generalmente se encuentran bajo el empleo de viejas familias de magos que residen en establecimientos elaborados, c","0","0","0","0","0","0","0","0","0","0","3","0","0"
"102","Erizo","migrated/Objetos____Criaturas____Erizo.png","Un adorable Erizo. Cuidado con su cuerpo, pincha.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"103","Escarbato","migrated/Objetos____Criaturas____Escarbato.png","Los escarbato son adorables, tanto que nos hacen olvidar que les encanta robarnos cosas brillantes.","500","999","0","0","0","0","0","0","0","0","3","0","0"
"104","Gato Angora","migrated/Objetos____Criaturas____Gato_Angora.jpg","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"105","Gato Asiático","migrated/Objetos____Criaturas____Gato_Asiatico.jpg","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"106","Gato Birmano","migrated/Objetos____Criaturas____Gato_Birmano.jpg","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"107","Gato Bombay","migrated/Objetos____Criaturas____Gato_Bombay.jpg","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"108","Gato Esfinge","migrated/Objetos____Criaturas____Gato_Esfinge.png","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"109","Gato Maine Coon","migrated/Objetos____Criaturas____Gato_Maine_Coon.png","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"110","Gato Mau Egipcio","migrated/Objetos____Criaturas____Gato_Mau_Egipcio.png","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"111","Gato Munchkin","migrated/Objetos____Criaturas____Gato_Munchkin.png","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"112","Gato Noruego","migrated/Objetos____Criaturas____Gato_Noruego.jpg","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"113","Gato Persa","migrated/Objetos____Criaturas____Gato_Persa.jpg","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"114","Gato Snowshoe","migrated/Objetos____Criaturas____Gato_Snowshoe.png","Los gatos son unos compañeros adorables y fascinantes, son de las mascotas más comunes en los hogares. Su independencia y lealtad los convierten en la opción perfecta para aquellos que tienen un estilo de vida ocupado.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"115","Granian","migrated/Objetos____Criaturas____Granian.png","Una de las especies de caballo volador con pelaje blanco.","3000","999","0","0","0","0","0","0","0","0","3","0","0"
"116","Hada","migrated/Objetos____Criaturas____Hada.png","Una pequeña hada que ha decidido llevarse bien con los humanos, eso no impide que su carácter sea voluble. Son de sólo tener una emoción por vez.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"117","Hamster","migrated/Objetos____Criaturas____Hamster.png","Una criatura traviesa y muy inteligente aunque su tamaño no lo asemeje.","0","0","0","0","0","0","0","0","0","0","3","0","0"
"118","Hurón","migrated/Objetos____Criaturas____Huron.png","Animal super curioso y dinámico que sin dudas le dará alegría a tu hogar.","250","999","0","0","0","0","0","0","0","0","3","0","0"
"119","Imp","migrated/Objetos____Criaturas____Imp.png","También conocido como Diablillo, es una criatura mágica que sólo se encuentra en Gran Bretaña e Irlanda.","500","999","0","0","0","0","0","0","0","0","3","0","0"
"120","Jobberknoll","migrated/Objetos____Criaturas____Jobberknoll.png","El Jobberknoll es un pequeño pájaro azul moteado que nunca hace ningún ruido hasta el momento antes de morir. A continuación, deja escapar un grito largo, que se compone de todos los sonidos que ha escuchado al revés.","500","999","0","0","0","0","0","0","0","0","3","0","0"
"121","Kneazle","migrated/Objetos____Criaturas____Kneazle.jpg","Similar a un gato esta criatura mágica que posee la extraña habilidad para detectar y desconfiar de personas sospechosas. También puede guiar a su propietario a casa con seguridad.","500","999","0","0","0","0","0","0","0","0","3","0","0"
